codigo,ean,stock,precio,promo,descripcion
12,7798382383776,9,130.0,No Promo,OTOWIL SHAMPOO CON MANTECA DE KARITE SOBRE 1 GR
12,7798382383813,22,130.0,No Promo,OTOWIL ACONDICIONADOR CON MANTECA DE KARITE OBRE 10G
12,7798382384575,7,7639.0,No Promo,OTOWIL PROTECTOR TERMICO CON ACEITE DE ARGAN SPRAY 180ML
12,7798382384582,7,13907.0,No Promo,OTOWIL CERA EN BARRA EFECTO SUAVE Y NATURAL UBO 75GR - 21110
12,7804900000251,1,9065.0,No Promo,ULTRA COREGA MAX FIJACION Y SELLADO CREMA AD ESIVA 40GR
12,7805010002135,4,9462.0,25%,VEET CREMA DEPILATORIA AXILA&BIKINI PS x100m
12,7891010245566,3,3777.0,No Promo,OB SIEMPRE LIBRE ORIGINAL CURVO SUPER TAMPON 8 UNIDADES
12,7891010247799,3,3777.0,No Promo,OB SIEMPRE LIBRE ORIGINAL CURVO MINI TAMPON UNIDADES
12,7891010249861,2,33655.0,No Promo,NEUTROGENA BRIGHT BOOST FACIAL GEL CREMA 50G
12,7891010251024,1,4505.0,No Promo,JOHNSON BABY TOALLITAS HUMEDAS DE LA CABEZA LOS PIES X 44 UNIDADES
12,7891010253820,2,13639.0,No Promo,NEUTROGENA INTENSIVE ANTI EDAD FPS22 CREMA F CIAL 100GR
12,7891010254476,1,6208.0,No Promo,LISTERINE FRESHBURST FRESCURA SUAVE  ENJUAGU BUCAL X 250ML
12,7891010254582,2,10442.0,No Promo,LISTERINE CUIDADO TOTAL ENJUAGUE BUCAL X 500 L
12,7891010254766,3,3777.0,No Promo,OB SIEMPRE LIBRE ORIGINAL CURVO MINI TAMPON UNIDADES
12,7891010254773,1,3777.0,No Promo,OB SIEMPRE LIBRE ORIGINAL CURVO MEDIO TAMPON 8 UNIDADES
12,7891010254780,3,3777.0,No Promo,OB SIEMPRE LIBRE ORIGINAL CURVO SUPER TAMPON 8 UNIDADES
12,7891010255329,1,6208.0,No Promo,LISTERINE FRESHBURST FRESCURA SUAVE  ENJUAGU BUCAL X 250ML
12,7891010255367,2,10442.0,No Promo,LISTERINE CUIDADO TOTAL ENJUAGUE BUCAL X 500 L
12,7891010256159,2,26816.0,No Promo,NEUTROGENA SUN FRESH HYDRO BOOST TONO CLARO FPS50 CREMA 40ML
12,7891010256166,3,26816.0,No Promo,NEUTROGENA SUN FRESH HYDRO BOOST TONO MEDIO PS50 CREMA 40ML
12,7891010560737,2,2319.0,No Promo,JOHNSON COTONETES FLEXIBLES X 75UNIDADES
